seq	name.x	term	lev	value	swissProt	name.y	egn	db	description
ORTHOMCL12474	cytoskeletal protein binding	GO:0008092	3	1	Q9FHN8	KN14E_ARATH	KN14E	ARATH	none
ORTHOMCL12636	cytoskeletal protein binding	GO:0008092	3	1	Q9Y490	TLN1_HUMAN	TLN1	HUMAN	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]
ORTHOMCL12979	cytoskeletal protein binding	GO:0008092	3	1	Q8TDM6	DLG5_HUMAN	DLG5	HUMAN	discs large MAGUK scaffold protein 5 [Source:HGNC Symbol;Acc:HGNC:2904]
ORTHOMCL14888	cytoskeletal protein binding	GO:0008092	3	1	Q8N556	AFAP1_HUMAN	AFAP1	HUMAN	actin filament associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24017]
ORTHOMCL1501	cytoskeletal protein binding	GO:0008092	3	1	P18848	ATF4_HUMAN	ATF4	HUMAN	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]
ORTHOMCL15545	cytoskeletal protein binding	GO:0008092	3	1	P48766	NAC1_CAVPO	NAC1	CAVPO	none
ORTHOMCL16006	cytoskeletal protein binding	GO:0008092	3	1	Q7Z460	CLAP1_HUMAN	CLAP1	HUMAN	cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088]
ORTHOMCL16201	cytoskeletal protein binding	GO:0008092	3	1	A1KZ92	PXDNL_HUMAN	PXDNL	HUMAN	peroxidasin like [Source:HGNC Symbol;Acc:HGNC:26359]
ORTHOMCL16312	cytoskeletal protein binding	GO:0008092	3	1	Q3TRR0	MAP9_MOUSE	MAP9	MOUSE	none
ORTHOMCL1772	cytoskeletal protein binding	GO:0008092	3	1	Q92597	NDRG1_HUMAN	NDRG1	HUMAN	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]
ORTHOMCL17727	cytoskeletal protein binding	GO:0008092	3	1	Q8WXG9	GPR98_HUMAN	GPR98	HUMAN	adhesion G protein-coupled receptor V1 [Source:HGNC Symbol;Acc:HGNC:17416]
ORTHOMCL17866	cytoskeletal protein binding	GO:0008092	3	1	P12270	TPR_HUMAN	TPR	HUMAN	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]
ORTHOMCL17892	cytoskeletal protein binding	GO:0008092	3	1	Q9P219	DAPLE_HUMAN	DAPLE	HUMAN	coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]
ORTHOMCL1855	cytoskeletal protein binding	GO:0008092	3	1	Q7JQD3	GELS1_LUMTE	GELS1	LUMTE	none
ORTHOMCL18815	cytoskeletal protein binding	GO:0008092	3	1	O75445	USH2A_HUMAN	USH2A	HUMAN	usherin [Source:HGNC Symbol;Acc:HGNC:12601]
ORTHOMCL21753	cytoskeletal protein binding	GO:0008092	3	1	Q8NDA2	HMCN2_HUMAN	HMCN2	HUMAN	hemicentin 2 [Source:HGNC Symbol;Acc:HGNC:21293]
ORTHOMCL2526	cytoskeletal protein binding	GO:0008092	3	1	P19352	TPM2_CHICK	TPM2	CHICK	Tropomyosin beta chain  [Source:UniProtKB/Swiss-Prot;Acc:P19352]
ORTHOMCL2684	cytoskeletal protein binding	GO:0008092	3	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL3238	cytoskeletal protein binding	GO:0008092	3	1	O94985	CSTN1_HUMAN	CSTN1	HUMAN	calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447]
ORTHOMCL3473	cytoskeletal protein binding	GO:0008092	3	1	O15527	OGG1_HUMAN	OGG1	HUMAN	8-oxoguanine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:8125]
ORTHOMCL3836	cytoskeletal protein binding	GO:0008092	3	1	O16127	TPM_ECHGR	TPM	ECHGR	none
ORTHOMCL4762	cytoskeletal protein binding	GO:0008092	3	1	O43903	GAS2_HUMAN	GAS2	HUMAN	growth arrest specific 2 [Source:HGNC Symbol;Acc:HGNC:4167]
ORTHOMCL5490	cytoskeletal protein binding	GO:0008092	3	1	Q12955	ANK3_HUMAN	ANK3	HUMAN	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]
ORTHOMCL5710	cytoskeletal protein binding	GO:0008092	3	1	P08133	ANXA6_HUMAN	ANXA6	HUMAN	annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]
ORTHOMCL5732	cytoskeletal protein binding	GO:0008092	3	1	O43490	PROM1_HUMAN	PROM1	HUMAN	prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]
ORTHOMCL5783	cytoskeletal protein binding	GO:0008092	3	1	Q3B7N2	ACTN1_BOVIN	ACTN1	BOVIN	actinin alpha 1 [Source:VGNC Symbol;Acc:VGNC:25581]
ORTHOMCL6373	cytoskeletal protein binding	GO:0008092	3	1	Q96L93	KI16B_HUMAN	KI16B	HUMAN	kinesin family member 16B [Source:HGNC Symbol;Acc:HGNC:15869]
ORTHOMCL6448	cytoskeletal protein binding	GO:0008092	3	1	Q9UDT6	CLIP2_HUMAN	CLIP2	HUMAN	CAP-Gly domain containing linker protein 2 [Source:HGNC Symbol;Acc:HGNC:2586]
ORTHOMCL6677	cytoskeletal protein binding	GO:0008092	3	1	Q9UPW5	CBPC1_HUMAN	CBPC1	HUMAN	ATP/GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17258]
ORTHOMCL8060	cytoskeletal protein binding	GO:0008092	3	1	Q8IVL0	NAV3_HUMAN	NAV3	HUMAN	neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998]
ORTHOMCL8234	cytoskeletal protein binding	GO:0008092	3	1	P00519	ABL1_HUMAN	ABL1	HUMAN	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]
ORTHOMCL837	cytoskeletal protein binding	GO:0008092	3	1	O16127	TPM_ECHGR	TPM	ECHGR	none
ORTHOMCL8494	cytoskeletal protein binding	GO:0008092	3	1	Q01484	ANK2_HUMAN	ANK2	HUMAN	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]
ORTHOMCL8545	cytoskeletal protein binding	GO:0008092	3	1	Q15366	PCBP2_HUMAN	PCBP2	HUMAN	poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8648]
ORTHOMCL8658	cytoskeletal protein binding	GO:0008092	3	1	Q14315	FLNC_HUMAN	FLNC	HUMAN	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]
ORTHOMCL8697	cytoskeletal protein binding	GO:0008092	3	1	Q08378	GOGA3_HUMAN	GOGA3	HUMAN	golgin A3 [Source:HGNC Symbol;Acc:HGNC:4426]
ORTHOMCL9634	cytoskeletal protein binding	GO:0008092	3	1	Q13507	TRPC3_HUMAN	TRPC3	HUMAN	transient receptor potential cation channel subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:12335]
ORTHOMCL9688	cytoskeletal protein binding	GO:0008092	3	1	Q14118	DAG1_HUMAN	DAG1	HUMAN	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]
ORTHOMCL9787	cytoskeletal protein binding	GO:0008092	3	1	F1LYQ8	FARP1_RAT	FARP1	RAT	none
ORTHOMCL10853	extracellular matrix structural constituent	GO:0005201	2	1	Q13308	PTK7_HUMAN	PTK7	HUMAN	protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618]
ORTHOMCL11301	extracellular matrix structural constituent	GO:0005201	2	1	O60462	NRP2_HUMAN	NRP2	HUMAN	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
ORTHOMCL12064	extracellular matrix structural constituent	GO:0005201	2	1	Q17RW2	COOA1_HUMAN	COOA1	HUMAN	collagen type XXIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:20821]
ORTHOMCL13636	extracellular matrix structural constituent	GO:0005201	2	1	P11047	LAMC1_HUMAN	LAMC1	HUMAN	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]
ORTHOMCL16201	extracellular matrix structural constituent	GO:0005201	2	1	A1KZ92	PXDNL_HUMAN	PXDNL	HUMAN	peroxidasin like [Source:HGNC Symbol;Acc:HGNC:26359]
ORTHOMCL18576	extracellular matrix structural constituent	GO:0005201	2	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL21753	extracellular matrix structural constituent	GO:0005201	2	1	Q8NDA2	HMCN2_HUMAN	HMCN2	HUMAN	hemicentin 2 [Source:HGNC Symbol;Acc:HGNC:21293]
ORTHOMCL2684	extracellular matrix structural constituent	GO:0005201	2	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL6348	extracellular matrix structural constituent	GO:0005201	2	1	P08120	CO4A1_DROME	CO4A1	DROME	Collagen type IV alpha 1 [Source:FlyBase;Acc:FBgn0000299]
ORTHOMCL8112	extracellular matrix structural constituent	GO:0005201	2	1	Q17RW2	COOA1_HUMAN	COOA1	HUMAN	collagen type XXIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:20821]
ORTHOMCL8503	extracellular matrix structural constituent	GO:0005201	2	1	P02466	CO1A2_RAT	CO1A2	RAT	none
ORTHOMCL9682	extracellular matrix structural constituent	GO:0005201	2	1	Q17RW2	COOA1_HUMAN	COOA1	HUMAN	collagen type XXIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:20821]
ORTHOMCL10536	G-protein coupled receptor binding	GO:0001664	2	1	Q95J56	DJC14_BOVIN	DJC14	BOVIN	DnaJ homolog subfamily C member 14  [Source:UniProtKB/Swiss-Prot;Acc:Q95J56]
ORTHOMCL12064	G-protein coupled receptor binding	GO:0001664	2	1	Q17RW2	COOA1_HUMAN	COOA1	HUMAN	collagen type XXIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:20821]
ORTHOMCL12283	G-protein coupled receptor binding	GO:0001664	2	1	P29274	AA2AR_HUMAN	AA2AR	HUMAN	adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263]
ORTHOMCL15626	G-protein coupled receptor binding	GO:0001664	2	1	O15085	ARHGB_HUMAN	ARHGB	HUMAN	Rho guanine nucleotide exchange factor 11 [Source:HGNC Symbol;Acc:HGNC:14580]
ORTHOMCL19328	G-protein coupled receptor binding	GO:0001664	2	1	Q9UGM3	DMBT1_HUMAN	DMBT1	HUMAN	deleted in malignant brain tumors 1 [Source:HGNC Symbol;Acc:HGNC:2926]
ORTHOMCL22756	G-protein coupled receptor binding	GO:0001664	2	1	Q13639	5HT4R_HUMAN	5HT4R	HUMAN	5-hydroxytryptamine receptor 4 [Source:HGNC Symbol;Acc:HGNC:5299]
ORTHOMCL2788	G-protein coupled receptor binding	GO:0001664	2	1	Q99961	SH3G1_HUMAN	SH3G1	HUMAN	SH3 domain containing GRB2 like 1, endophilin A2 [Source:HGNC Symbol;Acc:HGNC:10830]
ORTHOMCL5859	G-protein coupled receptor binding	GO:0001664	2	1	Q5ZLR1	WLS_CHICK	WLS	CHICK	none
ORTHOMCL6604	G-protein coupled receptor binding	GO:0001664	2	1	Q8WUM4	PDC6I_HUMAN	PDC6I	HUMAN	programmed cell death 6 interacting protein [Source:HGNC Symbol;Acc:HGNC:8766]
ORTHOMCL8337	G-protein coupled receptor binding	GO:0001664	2	1	Q01887	RYK_MOUSE	RYK	MOUSE	none
ORTHOMCL8503	G-protein coupled receptor binding	GO:0001664	2	1	P02466	CO1A2_RAT	CO1A2	RAT	none
ORTHOMCL8658	G-protein coupled receptor binding	GO:0001664	2	1	Q14315	FLNC_HUMAN	FLNC	HUMAN	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]
ORTHOMCL8909	G-protein coupled receptor binding	GO:0001664	2	1	Q9Y5X5	NPFF2_HUMAN	NPFF2	HUMAN	neuropeptide FF receptor 2 [Source:HGNC Symbol;Acc:HGNC:4525]
ORTHOMCL9227	G-protein coupled receptor binding	GO:0001664	2	1	Q96P65	QRFPR_HUMAN	QRFPR	HUMAN	pyroglutamylated RFamide peptide receptor [Source:HGNC Symbol;Acc:HGNC:15565]
ORTHOMCL10105	growth factor binding	GO:0019838	3	1	Q6ZWJ8	KCP_HUMAN	KCP	HUMAN	none
ORTHOMCL10803	growth factor binding	GO:0019838	3	1	P55115	NAS15_CAEEL	NAS15	CAEEL	none
ORTHOMCL11301	growth factor binding	GO:0019838	3	1	O60462	NRP2_HUMAN	NRP2	HUMAN	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
ORTHOMCL12064	growth factor binding	GO:0019838	3	1	Q17RW2	COOA1_HUMAN	COOA1	HUMAN	collagen type XXIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:20821]
ORTHOMCL13196	growth factor binding	GO:0019838	3	1	Q96CC6	RHDF1_HUMAN	RHDF1	HUMAN	rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]
ORTHOMCL14676	growth factor binding	GO:0019838	3	1	O60462	NRP2_HUMAN	NRP2	HUMAN	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
ORTHOMCL18576	growth factor binding	GO:0019838	3	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL21753	growth factor binding	GO:0019838	3	1	Q8NDA2	HMCN2_HUMAN	HMCN2	HUMAN	hemicentin 2 [Source:HGNC Symbol;Acc:HGNC:21293]
ORTHOMCL2684	growth factor binding	GO:0019838	3	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL5495	growth factor binding	GO:0019838	3	1	Q8N441	FGRL1_HUMAN	FGRL1	HUMAN	fibroblast growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:3693]
ORTHOMCL6348	growth factor binding	GO:0019838	3	1	P08120	CO4A1_DROME	CO4A1	DROME	Collagen type IV alpha 1 [Source:FlyBase;Acc:FBgn0000299]
ORTHOMCL6750	growth factor binding	GO:0019838	3	1	P18519	TNR16_CHICK	TNR16	CHICK	Tumor necrosis factor receptor superfamily member 16  [Source:UniProtKB/Swiss-Prot;Acc:P18519]
ORTHOMCL7131	growth factor binding	GO:0019838	3	1	Q6H9L7	ISM2_HUMAN	ISM2	HUMAN	isthmin 2 [Source:HGNC Symbol;Acc:HGNC:23176]
ORTHOMCL8503	growth factor binding	GO:0019838	3	1	P02466	CO1A2_RAT	CO1A2	RAT	none
ORTHOMCL9682	growth factor binding	GO:0019838	3	1	Q17RW2	COOA1_HUMAN	COOA1	HUMAN	collagen type XXIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:20821]
ORTHOMCL10972	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	O88307	SORL_MOUSE	SORL	MOUSE	none
ORTHOMCL11911	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	Q8IY33	MILK2_HUMAN	MILK2	HUMAN	MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]
ORTHOMCL12260	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	Q13439	GOGA4_HUMAN	GOGA4	HUMAN	golgin A4 [Source:HGNC Symbol;Acc:HGNC:4427]
ORTHOMCL13690	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	Q6P3S1	DEN1B_HUMAN	DEN1B	HUMAN	DENN domain containing 1B [Source:HGNC Symbol;Acc:HGNC:28404]
ORTHOMCL13749	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	Q3UTQ8	CDKL5_MOUSE	CDKL5	MOUSE	none
ORTHOMCL16201	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	A1KZ92	PXDNL_HUMAN	PXDNL	HUMAN	peroxidasin like [Source:HGNC Symbol;Acc:HGNC:26359]
ORTHOMCL16368	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	P0C5Y8	ALS2_RAT	ALS2	RAT	none
ORTHOMCL1772	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	Q92597	NDRG1_HUMAN	NDRG1	HUMAN	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]
ORTHOMCL17846	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	Q3U5C8	ARHGG_MOUSE	ARHGG	MOUSE	none
ORTHOMCL20034	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	Q9HAV4	XPO5_HUMAN	XPO5	HUMAN	exportin 5 [Source:HGNC Symbol;Acc:HGNC:17675]
ORTHOMCL21753	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	Q8NDA2	HMCN2_HUMAN	HMCN2	HUMAN	hemicentin 2 [Source:HGNC Symbol;Acc:HGNC:21293]
ORTHOMCL2684	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL2788	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	Q99961	SH3G1_HUMAN	SH3G1	HUMAN	SH3 domain containing GRB2 like 1, endophilin A2 [Source:HGNC Symbol;Acc:HGNC:10830]
ORTHOMCL5589	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	P07814	SYEP_HUMAN	SYEP	HUMAN	glutamyl-prolyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:3418]
ORTHOMCL5964	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	Q8TDW5	SYTL5_HUMAN	SYTL5	HUMAN	synaptotagmin like 5 [Source:HGNC Symbol;Acc:HGNC:15589]
ORTHOMCL5984	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	F1RCP1	BECN1_DANRE	BECN1	DANRE	beclin 1, autophagy related [Source:ZFIN;Acc:ZDB-GENE-040426-1666]
ORTHOMCL6373	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	Q96L93	KI16B_HUMAN	KI16B	HUMAN	kinesin family member 16B [Source:HGNC Symbol;Acc:HGNC:15869]
ORTHOMCL6750	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	P18519	TNR16_CHICK	TNR16	CHICK	Tumor necrosis factor receptor superfamily member 16  [Source:UniProtKB/Swiss-Prot;Acc:P18519]
ORTHOMCL7130	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	O18973	RABX5_BOVIN	RABX5	BOVIN	none
ORTHOMCL7262	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	Q7T3A4	RAB13_DANRE	RAB13	DANRE	RAB13, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-030826-30]
ORTHOMCL8524	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	A4IIM3	SIN1_XENTR	SIN1	XENTR	none
ORTHOMCL8658	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	Q14315	FLNC_HUMAN	FLNC	HUMAN	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]
ORTHOMCL9617	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	Q96N67	DOCK7_HUMAN	DOCK7	HUMAN	dedicator of cytokinesis 7 [Source:HGNC Symbol;Acc:HGNC:19190]
ORTHOMCL9787	GTPase binding	GO:0051020;GO:0031267;GO:0017016	2	1	F1LYQ8	FARP1_RAT	FARP1	RAT	none
ORTHOMCL10105	peptidase regulator activity	GO:0061134	2	1	Q6ZWJ8	KCP_HUMAN	KCP	HUMAN	none
ORTHOMCL10481	peptidase regulator activity	GO:0061134	2	1	Q13490	BIRC2_HUMAN	BIRC2	HUMAN	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]
ORTHOMCL10803	peptidase regulator activity	GO:0061134	2	1	P55115	NAS15_CAEEL	NAS15	CAEEL	none
ORTHOMCL11301	peptidase regulator activity	GO:0061134	2	1	O60462	NRP2_HUMAN	NRP2	HUMAN	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
ORTHOMCL13133	peptidase regulator activity	GO:0061134	2	1	Q9HAV5	TNR27_HUMAN	TNR27	HUMAN	ectodysplasin A2 receptor [Source:HGNC Symbol;Acc:HGNC:17756]
ORTHOMCL15512	peptidase regulator activity	GO:0061134	2	1	Q9NR09	BIRC6_HUMAN	BIRC6	HUMAN	baculoviral IAP repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:13516]
ORTHOMCL15828	peptidase regulator activity	GO:0061134	2	1	Q9Y6L7	TLL2_HUMAN	TLL2	HUMAN	tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:11844]
ORTHOMCL17211	peptidase regulator activity	GO:0061134	2	1	P82279	CRUM1_HUMAN	CRUM1	HUMAN	crumbs 1, cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:2343]
ORTHOMCL18576	peptidase regulator activity	GO:0061134	2	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL2804	peptidase regulator activity	GO:0061134	2	1	Q99727	TIMP4_HUMAN	TIMP4	HUMAN	TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823]
ORTHOMCL7131	peptidase regulator activity	GO:0061134	2	1	Q6H9L7	ISM2_HUMAN	ISM2	HUMAN	isthmin 2 [Source:HGNC Symbol;Acc:HGNC:23176]
ORTHOMCL7263	peptidase regulator activity	GO:0061134	2	1	O95980	RECK_HUMAN	RECK	HUMAN	reversion inducing cysteine rich protein with kazal motifs [Source:HGNC Symbol;Acc:HGNC:11345]
ORTHOMCL10346	protein complex binding	GO:0032403	3	1	Q9UHB6	LIMA1_HUMAN	LIMA1	HUMAN	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
ORTHOMCL10803	protein complex binding	GO:0032403	3	1	P55115	NAS15_CAEEL	NAS15	CAEEL	none
ORTHOMCL10820	protein complex binding	GO:0032403	3	1	O94913	PCF11_HUMAN	PCF11	HUMAN	PCF11 cleavage and polyadenylation factor subunit [Source:HGNC Symbol;Acc:HGNC:30097]
ORTHOMCL11301	protein complex binding	GO:0032403	3	1	O60462	NRP2_HUMAN	NRP2	HUMAN	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
ORTHOMCL11624	protein complex binding	GO:0032403	3	1	Q8N3C7	CLIP4_HUMAN	CLIP4	HUMAN	CAP-Gly domain containing linker protein family member 4 [Source:HGNC Symbol;Acc:HGNC:26108]
ORTHOMCL11680	protein complex binding	GO:0032403	3	1	Q5JR59	MTUS2_HUMAN	MTUS2	HUMAN	microtubule associated scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:20595]
ORTHOMCL11790	protein complex binding	GO:0032403	3	1	P10586	PTPRF_HUMAN	PTPRF	HUMAN	protein tyrosine phosphatase, receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]
ORTHOMCL11911	protein complex binding	GO:0032403	3	1	Q8IY33	MILK2_HUMAN	MILK2	HUMAN	MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]
ORTHOMCL12015	protein complex binding	GO:0032403	3	1	Q0P426	SKA2_DANRE	SKA2	DANRE	none
ORTHOMCL12070	protein complex binding	GO:0032403	3	1	P00451	FA8_HUMAN	FA8	HUMAN	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]
ORTHOMCL12474	protein complex binding	GO:0032403	3	1	Q9FHN8	KN14E_ARATH	KN14E	ARATH	none
ORTHOMCL12636	protein complex binding	GO:0032403	3	1	Q9Y490	TLN1_HUMAN	TLN1	HUMAN	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]
ORTHOMCL14319	protein complex binding	GO:0032403	3	1	Q9NXL6	SIDT1_HUMAN	SIDT1	HUMAN	SID1 transmembrane family member 1 [Source:HGNC Symbol;Acc:HGNC:25967]
ORTHOMCL14676	protein complex binding	GO:0032403	3	1	O60462	NRP2_HUMAN	NRP2	HUMAN	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
ORTHOMCL15828	protein complex binding	GO:0032403	3	1	Q9Y6L7	TLL2_HUMAN	TLL2	HUMAN	tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:11844]
ORTHOMCL16006	protein complex binding	GO:0032403	3	1	Q7Z460	CLAP1_HUMAN	CLAP1	HUMAN	cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088]
ORTHOMCL16201	protein complex binding	GO:0032403	3	1	A1KZ92	PXDNL_HUMAN	PXDNL	HUMAN	peroxidasin like [Source:HGNC Symbol;Acc:HGNC:26359]
ORTHOMCL16312	protein complex binding	GO:0032403	3	1	Q3TRR0	MAP9_MOUSE	MAP9	MOUSE	none
ORTHOMCL1772	protein complex binding	GO:0032403	3	1	Q92597	NDRG1_HUMAN	NDRG1	HUMAN	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]
ORTHOMCL17866	protein complex binding	GO:0032403	3	1	P12270	TPR_HUMAN	TPR	HUMAN	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]
ORTHOMCL17892	protein complex binding	GO:0032403	3	1	Q9P219	DAPLE_HUMAN	DAPLE	HUMAN	coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]
ORTHOMCL1855	protein complex binding	GO:0032403	3	1	Q7JQD3	GELS1_LUMTE	GELS1	LUMTE	none
ORTHOMCL18576	protein complex binding	GO:0032403	3	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL18815	protein complex binding	GO:0032403	3	1	O75445	USH2A_HUMAN	USH2A	HUMAN	usherin [Source:HGNC Symbol;Acc:HGNC:12601]
ORTHOMCL18882	protein complex binding	GO:0032403	3	1	Q8WWZ8	OIT3_HUMAN	OIT3	HUMAN	oncoprotein induced transcript 3 [Source:HGNC Symbol;Acc:HGNC:29953]
ORTHOMCL21753	protein complex binding	GO:0032403	3	1	Q8NDA2	HMCN2_HUMAN	HMCN2	HUMAN	hemicentin 2 [Source:HGNC Symbol;Acc:HGNC:21293]
ORTHOMCL2526	protein complex binding	GO:0032403	3	1	P19352	TPM2_CHICK	TPM2	CHICK	Tropomyosin beta chain  [Source:UniProtKB/Swiss-Prot;Acc:P19352]
ORTHOMCL2684	protein complex binding	GO:0032403	3	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL3473	protein complex binding	GO:0032403	3	1	O15527	OGG1_HUMAN	OGG1	HUMAN	8-oxoguanine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:8125]
ORTHOMCL3836	protein complex binding	GO:0032403	3	1	O16127	TPM_ECHGR	TPM	ECHGR	none
ORTHOMCL4637	protein complex binding	GO:0032403	3	1	P20073	ANXA7_HUMAN	ANXA7	HUMAN	annexin A7 [Source:HGNC Symbol;Acc:HGNC:545]
ORTHOMCL4762	protein complex binding	GO:0032403	3	1	O43903	GAS2_HUMAN	GAS2	HUMAN	growth arrest specific 2 [Source:HGNC Symbol;Acc:HGNC:4167]
ORTHOMCL5710	protein complex binding	GO:0032403	3	1	P08133	ANXA6_HUMAN	ANXA6	HUMAN	annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]
